date,home_team,away_team,winner,first_shooter,match_id
1984-05-27,England,Sweden,Sweden,nan,1984-05-27_England_Sweden
1988-06-12,China PR,Brazil,Brazil,Brazil,1988-06-12_China_PR_Brazil
1995-06-13,Sweden,China PR,China PR,China PR,1995-06-13_Sweden_China_PR
1996-05-18,Japan,Canada,Japan,nan,1996-05-18_Japan_Canada
1998-07-25,China PR,Norway,China PR,nan,1998-07-25_China_PR_Norway
1998-07-27,Denmark,Norway,Norway,nan,1998-07-27_Denmark_Norway
1998-12-15,North Korea,Taiwan,North Korea,nan,1998-12-15_North_Korea_Taiwan
1999-01-09,Australia,Italy,Italy,nan,1999-01-09_Australia_Italy
1999-07-10,Brazil,Norway,Brazil,Norway,1999-07-10_Brazil_Norway
1999-07-10,United States,China PR,United States,China PR,1999-07-10_United_States_China_PR
1999-08-02,Canada,Mexico,Mexico,nan,1999-08-02_Canada_Mexico
1999-08-04,Canada,Costa Rica,Costa Rica,nan,1999-08-04_Canada_Costa_Rica
2001-09-12,Vietnam,Myanmar,Vietnam,nan,2001-09-12_Vietnam_Myanmar
2001-11-29,Guatemala,Honduras,Honduras,nan,2001-11-29_Guatemala_Honduras
2006-12-13,Japan,North Korea,North Korea,nan,2006-12-13_Japan_North_Korea
2007-07-05,Bermuda,Isle of Man,Bermuda,nan,2007-07-05_Bermuda_Isle_of_Man
2007-09-15,Myanmar,Thailand,Myanmar,nan,2007-09-15_Myanmar_Thailand
2008-04-12,Canada,United States,United States,nan,2008-04-12_Canada_United_States
2009-03-12,France,New Zealand,France,nan,2009-03-12_France_New_Zealand
2009-12-16,Thailand,Vietnam,Vietnam,nan,2009-12-16_Thailand_Vietnam
2011-06-15,Colombia,Denmark,Colombia,nan,2011-06-15_Colombia_Denmark
2011-07-06,Zimbabwe,Tanzania,Zimbabwe,nan,2011-07-06_Zimbabwe_Tanzania
2011-07-09,England,France,France,France,2011-07-09_England_France
2011-07-10,Brazil,United States,United States,United States,2011-07-10_Brazil_United_States
2011-07-17,Japan,United States,Japan,United States,2011-07-17_Japan_United_States
2011-10-12,United Arab Emirates,Iran,United Arab Emirates,nan,2011-10-12_United_Arab_Emirates_Iran
2011-10-27,Brazil,Canada,Canada,nan,2011-10-27_Brazil_Canada
